ENTREZID	SYMBOL	GOALL	ONTOLOGYALL	GOTERM
1051	CEBPB	GO:0006351	BP	"transcription, DNA-templated"
1051	CEBPB	GO:0006355	BP	"regulation of transcription, DNA-templated"
1051	CEBPB	GO:0006357	BP	regulation of transcription from RNA polymerase II promoter
1051	CEBPB	GO:0006366	BP	transcription from RNA polymerase II promoter
1051	CEBPB	GO:0006725	BP	cellular aromatic compound metabolic process
1051	CEBPB	GO:0006807	BP	nitrogen compound metabolic process
1051	CEBPB	GO:0006915	BP	apoptotic process
1051	CEBPB	GO:0006950	BP	response to stress
1051	CEBPB	GO:0006952	BP	defense response
1051	CEBPB	GO:0006953	BP	acute-phase response
1051	CEBPB	GO:0006954	BP	inflammatory response
1051	CEBPB	GO:0006955	BP	immune response
1051	CEBPB	GO:0007154	BP	cell communication
1051	CEBPB	GO:0007155	BP	cell adhesion
1051	CEBPB	GO:0007159	BP	leukocyte cell-cell adhesion
1051	CEBPB	GO:0007162	BP	negative regulation of cell adhesion
1051	CEBPB	GO:0007165	BP	signal transduction
1051	CEBPB	GO:0007275	BP	multicellular organism development
1051	CEBPB	GO:0007399	BP	nervous system development
1051	CEBPB	GO:0007548	BP	sex differentiation
1051	CEBPB	GO:0007610	BP	behavior
1051	CEBPB	GO:0007611	BP	learning or memory
1051	CEBPB	GO:0007613	BP	memory
1051	CEBPB	GO:0008150	BP	biological_process
1051	CEBPB	GO:0008152	BP	metabolic process
1051	CEBPB	GO:0008219	BP	cell death
1051	CEBPB	GO:0008283	BP	cell proliferation
1051	CEBPB	GO:0008285	BP	negative regulation of cell proliferation
1051	CEBPB	GO:0008406	BP	gonad development
1051	CEBPB	GO:0008585	BP	female gonad development
1051	CEBPB	GO:0009058	BP	biosynthetic process
1051	CEBPB	GO:0009059	BP	macromolecule biosynthetic process
1051	CEBPB	GO:0009605	BP	response to external stimulus
1051	CEBPB	GO:0009607	BP	response to biotic stimulus
1051	CEBPB	GO:0009617	BP	response to bacterium
1051	CEBPB	GO:0009653	BP	anatomical structure morphogenesis
1051	CEBPB	GO:0009719	BP	response to endogenous stimulus
1051	CEBPB	GO:0009790	BP	embryo development
1051	CEBPB	GO:0009792	BP	embryo development ending in birth or egg hatching
1051	CEBPB	GO:0009887	BP	animal organ morphogenesis
1051	CEBPB	GO:0009888	BP	tissue development
1051	CEBPB	GO:0009889	BP	regulation of biosynthetic process
1051	CEBPB	GO:0009890	BP	negative regulation of biosynthetic process
1051	CEBPB	GO:0009891	BP	positive regulation of biosynthetic process
1051	CEBPB	GO:0009892	BP	negative regulation of metabolic process
1051	CEBPB	GO:0009893	BP	positive regulation of metabolic process
1051	CEBPB	GO:0009987	BP	cellular process
1051	CEBPB	GO:0010033	BP	response to organic substance
1051	CEBPB	GO:0010243	BP	response to organonitrogen compound
1051	CEBPB	GO:0010467	BP	gene expression
1051	CEBPB	GO:0010468	BP	regulation of gene expression
1051	CEBPB	GO:0010556	BP	regulation of macromolecule biosynthetic process
1051	CEBPB	GO:0010557	BP	positive regulation of macromolecule biosynthetic process
1051	CEBPB	GO:0010558	BP	negative regulation of macromolecule biosynthetic process
1051	CEBPB	GO:0010604	BP	positive regulation of macromolecule metabolic process
1051	CEBPB	GO:0010605	BP	negative regulation of macromolecule metabolic process
1051	CEBPB	GO:0010628	BP	positive regulation of gene expression
1051	CEBPB	GO:0010629	BP	negative regulation of gene expression
1051	CEBPB	GO:0010941	BP	regulation of cell death
1051	CEBPB	GO:0012501	BP	programmed cell death
1051	CEBPB	GO:0014070	BP	response to organic cyclic compound
1051	CEBPB	GO:0016070	BP	RNA metabolic process
1051	CEBPB	GO:0016337	BP	single organismal cell-cell adhesion
1051	CEBPB	GO:0018130	BP	heterocycle biosynthetic process
1051	CEBPB	GO:0019219	BP	regulation of nucleobase-containing compound metabolic process
1051	CEBPB	GO:0019222	BP	regulation of metabolic process
1051	CEBPB	GO:0019438	BP	aromatic compound biosynthetic process
1051	CEBPB	GO:0019538	BP	protein metabolic process
1051	CEBPB	GO:0022008	BP	neurogenesis
1051	CEBPB	GO:0022407	BP	regulation of cell-cell adhesion
1051	CEBPB	GO:0022408	BP	negative regulation of cell-cell adhesion
1051	CEBPB	GO:0022414	BP	reproductive process
1051	CEBPB	GO:0022602	BP	ovulation cycle process
1051	CEBPB	GO:0022610	BP	biological adhesion
1051	CEBPB	GO:0022612	BP	gland morphogenesis
1051	CEBPB	GO:0023052	BP	signaling
1051	CEBPB	GO:0030097	BP	hemopoiesis
1051	CEBPB	GO:0030099	BP	myeloid cell differentiation
1051	CEBPB	GO:0030154	BP	cell differentiation
1051	CEBPB	GO:0030155	BP	regulation of cell adhesion
1051	CEBPB	GO:0030182	BP	neuron differentiation
1051	CEBPB	GO:0030278	BP	regulation of ossification
1051	CEBPB	GO:0030316	BP	osteoclast differentiation
1051	CEBPB	GO:0030855	BP	epithelial cell differentiation
1051	CEBPB	GO:0030879	BP	mammary gland development
1051	CEBPB	GO:0031099	BP	regeneration
1051	CEBPB	GO:0031100	BP	animal organ regeneration
1051	CEBPB	GO:0031323	BP	regulation of cellular metabolic process
1051	CEBPB	GO:0031324	BP	negative regulation of cellular metabolic process
1051	CEBPB	GO:0031325	BP	positive regulation of cellular metabolic process
1051	CEBPB	GO:0031326	BP	regulation of cellular biosynthetic process
1051	CEBPB	GO:0031327	BP	negative regulation of cellular biosynthetic process
1051	CEBPB	GO:0031328	BP	positive regulation of cellular biosynthetic process
1051	CEBPB	GO:0032496	BP	response to lipopolysaccharide
1051	CEBPB	GO:0032501	BP	multicellular organismal process
1051	CEBPB	GO:0032502	BP	developmental process
1051	CEBPB	GO:0032504	BP	multicellular organism reproduction
1051	CEBPB	GO:0032633	BP	interleukin-4 production
1051	CEBPB	GO:0032635	BP	interleukin-6 production
1051	CEBPB	GO:0032673	BP	regulation of interleukin-4 production
1051	CEBPB	GO:0032675	BP	regulation of interleukin-6 production
1051	CEBPB	GO:0032753	BP	positive regulation of interleukin-4 production
1051	CEBPB	GO:0032774	BP	RNA biosynthetic process
1051	CEBPB	GO:0032943	BP	mononuclear cell proliferation
1051	CEBPB	GO:0032944	BP	regulation of mononuclear cell proliferation
1051	CEBPB	GO:0032945	BP	negative regulation of mononuclear cell proliferation
1051	CEBPB	GO:0033554	BP	cellular response to stress
1051	CEBPB	GO:0033598	BP	mammary gland epithelial cell proliferation
1051	CEBPB	GO:0033993	BP	response to lipid
1051	CEBPB	GO:0034097	BP	response to cytokine
1051	CEBPB	GO:0034641	BP	cellular nitrogen compound metabolic process
1051	CEBPB	GO:0034645	BP	cellular macromolecule biosynthetic process
1051	CEBPB	GO:0034654	BP	nucleobase-containing compound biosynthetic process
1051	CEBPB	GO:0034976	BP	response to endoplasmic reticulum stress
1051	CEBPB	GO:0035556	BP	intracellular signal transduction
1051	CEBPB	GO:0036003	BP	positive regulation of transcription from RNA polymerase II promoter in response to stress
1051	CEBPB	GO:0042035	BP	regulation of cytokine biosynthetic process
1051	CEBPB	GO:0042089	BP	cytokine biosynthetic process
1051	CEBPB	GO:0042098	BP	T cell proliferation
1051	CEBPB	GO:0042107	BP	cytokine metabolic process
1051	CEBPB	GO:0042110	BP	T cell activation
1051	CEBPB	GO:0042127	BP	regulation of cell proliferation
1051	CEBPB	GO:0042129	BP	regulation of T cell proliferation
1051	CEBPB	GO:0042130	BP	negative regulation of T cell proliferation
1051	CEBPB	GO:0042221	BP	response to chemical
1051	CEBPB	GO:0042226	BP	interleukin-6 biosynthetic process
1051	CEBPB	GO:0042698	BP	ovulation cycle
1051	CEBPB	GO:0042742	BP	defense response to bacterium
1051	CEBPB	GO:0042981	BP	regulation of apoptotic process
1051	CEBPB	GO:0043009	BP	chordate embryonic development
1051	CEBPB	GO:0043066	BP	negative regulation of apoptotic process
1051	CEBPB	GO:0043067	BP	regulation of programmed cell death
1051	CEBPB	GO:0043069	BP	negative regulation of programmed cell death
1051	CEBPB	GO:0043170	BP	macromolecule metabolic process
1051	CEBPB	GO:0043200	BP	response to amino acid
1051	CEBPB	GO:0043207	BP	response to external biotic stimulus
1051	CEBPB	GO:0043523	BP	regulation of neuron apoptotic process
1051	CEBPB	GO:0043524	BP	negative regulation of neuron apoptotic process
1051	CEBPB	GO:0043618	BP	regulation of transcription from RNA polymerase II promoter in response to stress
1051	CEBPB	GO:0043620	BP	regulation of DNA-templated transcription in response to stress
1051	CEBPB	GO:0044237	BP	cellular metabolic process
1051	CEBPB	GO:0044238	BP	primary metabolic process
1051	CEBPB	GO:0044249	BP	cellular biosynthetic process
1051	CEBPB	GO:0044260	BP	cellular macromolecule metabolic process
1051	CEBPB	GO:0044271	BP	cellular nitrogen compound biosynthetic process
1051	CEBPB	GO:0044699	BP	single-organism process
1051	CEBPB	GO:0044700	BP	single organism signaling
1051	CEBPB	GO:0044702	BP	single organism reproductive process
1051	CEBPB	GO:0044707	BP	single-multicellular organism process
1051	CEBPB	GO:0044708	BP	single-organism behavior
1051	CEBPB	GO:0044763	BP	single-organism cellular process
1051	CEBPB	GO:0044767	BP	single-organism developmental process
1051	CEBPB	GO:0045137	BP	development of primary sexual characteristics
1051	CEBPB	GO:0045165	BP	cell fate commitment
1051	CEBPB	GO:0045321	BP	leukocyte activation
1051	CEBPB	GO:0045408	BP	regulation of interleukin-6 biosynthetic process
1051	CEBPB	GO:0045444	BP	fat cell differentiation
1051	CEBPB	GO:0045595	BP	regulation of cell differentiation
1051	CEBPB	GO:0045597	BP	positive regulation of cell differentiation
1051	CEBPB	GO:0045598	BP	regulation of fat cell differentiation
1051	CEBPB	GO:0045600	BP	positive regulation of fat cell differentiation
1051	CEBPB	GO:0045637	BP	regulation of myeloid cell differentiation
1051	CEBPB	GO:0045667	BP	regulation of osteoblast differentiation
1051	CEBPB	GO:0045669	BP	positive regulation of osteoblast differentiation
1051	CEBPB	GO:0045670	BP	regulation of osteoclast differentiation
1051	CEBPB	GO:0045778	BP	positive regulation of ossification
1051	CEBPB	GO:0045892	BP	"negative regulation of transcription, DNA-templated"
1051	CEBPB	GO:0045893	BP	"positive regulation of transcription, DNA-templated"
1051	CEBPB	GO:0045934	BP	negative regulation of nucleobase-containing compound metabolic process
1051	CEBPB	GO:0045935	BP	positive regulation of nucleobase-containing compound metabolic process
1051	CEBPB	GO:0045944	BP	positive regulation of transcription from RNA polymerase II promoter
1051	CEBPB	GO:0046483	BP	heterocycle metabolic process
1051	CEBPB	GO:0046545	BP	development of primary female sexual characteristics
1051	CEBPB	GO:0046649	BP	lymphocyte activation
1051	CEBPB	GO:0046651	BP	lymphocyte proliferation
1051	CEBPB	GO:0046660	BP	female sex differentiation
1051	CEBPB	GO:0048511	BP	rhythmic process
1051	CEBPB	GO:0048513	BP	animal organ development
1051	CEBPB	GO:0048518	BP	positive regulation of biological process
1051	CEBPB	GO:0048519	BP	negative regulation of biological process
1051	CEBPB	GO:0048522	BP	positive regulation of cellular process
1051	CEBPB	GO:0048523	BP	negative regulation of cellular process
1051	CEBPB	GO:0048534	BP	hematopoietic or lymphoid organ development
1051	CEBPB	GO:0048568	BP	embryonic organ development
1051	CEBPB	GO:0048608	BP	reproductive structure development
1051	CEBPB	GO:0048609	BP	multicellular organismal reproductive process
1051	CEBPB	GO:0048699	BP	generation of neurons
1051	CEBPB	GO:0048731	BP	system development
1051	CEBPB	GO:0048732	BP	gland development
1051	CEBPB	GO:0048856	BP	anatomical structure development
1051	CEBPB	GO:0048869	BP	cellular developmental process
1051	CEBPB	GO:0050670	BP	regulation of lymphocyte proliferation
1051	CEBPB	GO:0050672	BP	negative regulation of lymphocyte proliferation
1051	CEBPB	GO:0050673	BP	epithelial cell proliferation
1051	CEBPB	GO:0050789	BP	regulation of biological process
1051	CEBPB	GO:0050793	BP	regulation of developmental process
1051	CEBPB	GO:0050794	BP	regulation of cellular process
1051	CEBPB	GO:0050863	BP	regulation of T cell activation
1051	CEBPB	GO:0050865	BP	regulation of cell activation
1051	CEBPB	GO:0050866	BP	negative regulation of cell activation
1051	CEBPB	GO:0050868	BP	negative regulation of T cell activation
1051	CEBPB	GO:0050873	BP	brown fat cell differentiation
1051	CEBPB	GO:0050877	BP	neurological system process
1051	CEBPB	GO:0050890	BP	cognition
1051	CEBPB	GO:0050896	BP	response to stimulus
1051	CEBPB	GO:0051094	BP	positive regulation of developmental process
1051	CEBPB	GO:0051171	BP	regulation of nitrogen compound metabolic process
1051	CEBPB	GO:0051172	BP	negative regulation of nitrogen compound metabolic process
1051	CEBPB	GO:0051173	BP	positive regulation of nitrogen compound metabolic process
1051	CEBPB	GO:0051239	BP	regulation of multicellular organismal process
1051	CEBPB	GO:0051240	BP	positive regulation of multicellular organismal process
1051	CEBPB	GO:0051246	BP	regulation of protein metabolic process
1051	CEBPB	GO:0051249	BP	regulation of lymphocyte activation
1051	CEBPB	GO:0051250	BP	negative regulation of lymphocyte activation
1051	CEBPB	GO:0051252	BP	regulation of RNA metabolic process
1051	CEBPB	GO:0051253	BP	negative regulation of RNA metabolic process
1051	CEBPB	GO:0051254	BP	positive regulation of RNA metabolic process
1051	CEBPB	GO:0051402	BP	neuron apoptotic process
1051	CEBPB	GO:0051704	BP	multi-organism process
1051	CEBPB	GO:0051707	BP	response to other organism
1051	CEBPB	GO:0051716	BP	cellular response to stimulus
1051	CEBPB	GO:0060255	BP	regulation of macromolecule metabolic process
1051	CEBPB	GO:0060429	BP	epithelium development
1051	CEBPB	GO:0060548	BP	negative regulation of cell death
1051	CEBPB	GO:0060644	BP	mammary gland epithelial cell differentiation
1051	CEBPB	GO:0060850	BP	regulation of transcription involved in cell fate commitment
1051	CEBPB	GO:0061008	BP	hepaticobiliary system development
1051	CEBPB	GO:0061180	BP	mammary gland epithelium development
1051	CEBPB	GO:0061458	BP	reproductive system development
1051	CEBPB	GO:0065007	BP	biological regulation
1051	CEBPB	GO:0070059	BP	intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress
1051	CEBPB	GO:0070555	BP	response to interleukin-1
1051	CEBPB	GO:0070661	BP	leukocyte proliferation
1051	CEBPB	GO:0070663	BP	regulation of leukocyte proliferation
1051	CEBPB	GO:0070664	BP	negative regulation of leukocyte proliferation
1051	CEBPB	GO:0070887	BP	cellular response to chemical stimulus
1051	CEBPB	GO:0070997	BP	neuron death
1051	CEBPB	GO:0071216	BP	cellular response to biotic stimulus
1051	CEBPB	GO:0071219	BP	cellular response to molecule of bacterial origin
1051	CEBPB	GO:0071222	BP	cellular response to lipopolysaccharide
1051	CEBPB	GO:0071229	BP	cellular response to acid chemical
1051	CEBPB	GO:0071230	BP	cellular response to amino acid stimulus
1051	CEBPB	GO:0071310	BP	cellular response to organic substance
1051	CEBPB	GO:0071345	BP	cellular response to cytokine stimulus
1051	CEBPB	GO:0071347	BP	cellular response to interleukin-1
1051	CEBPB	GO:0071396	BP	cellular response to lipid
1051	CEBPB	GO:0071407	BP	cellular response to organic cyclic compound
1051	CEBPB	GO:0071417	BP	cellular response to organonitrogen compound
1051	CEBPB	GO:0071495	BP	cellular response to endogenous stimulus
1051	CEBPB	GO:0071704	BP	organic substance metabolic process
1051	CEBPB	GO:0072574	BP	hepatocyte proliferation
1051	CEBPB	GO:0072575	BP	epithelial cell proliferation involved in liver morphogenesis
1051	CEBPB	GO:0072576	BP	liver morphogenesis
1051	CEBPB	GO:0080090	BP	regulation of primary metabolic process
1051	CEBPB	GO:0090304	BP	nucleic acid metabolic process
1051	CEBPB	GO:0097190	BP	apoptotic signaling pathway
1051	CEBPB	GO:0097193	BP	intrinsic apoptotic signaling pathway
1051	CEBPB	GO:0097421	BP	liver regeneration
1051	CEBPB	GO:0097659	BP	nucleic acid-templated transcription
1051	CEBPB	GO:0098542	BP	defense response to other organism
1051	CEBPB	GO:0098602	BP	single organism cell adhesion
1051	CEBPB	GO:0098609	BP	cell-cell adhesion
1051	CEBPB	GO:1901214	BP	regulation of neuron death
1051	CEBPB	GO:1901215	BP	negative regulation of neuron death
1051	CEBPB	GO:1901360	BP	organic cyclic compound metabolic process
1051	CEBPB	GO:1901362	BP	organic cyclic compound biosynthetic process
1051	CEBPB	GO:1901576	BP	organic substance biosynthetic process
1051	CEBPB	GO:1901698	BP	response to nitrogen compound
1051	CEBPB	GO:1901699	BP	cellular response to nitrogen compound
1051	CEBPB	GO:1901700	BP	response to oxygen-containing compound
1051	CEBPB	GO:1901701	BP	cellular response to oxygen-containing compound
1051	CEBPB	GO:1902105	BP	regulation of leukocyte differentiation
1051	CEBPB	GO:1902679	BP	negative regulation of RNA biosynthetic process
1051	CEBPB	GO:1902680	BP	positive regulation of RNA biosynthetic process
1051	CEBPB	GO:1903037	BP	regulation of leukocyte cell-cell adhesion
1051	CEBPB	GO:1903038	BP	negative regulation of leukocyte cell-cell adhesion
1051	CEBPB	GO:1903506	BP	regulation of nucleic acid-templated transcription
1051	CEBPB	GO:1903507	BP	negative regulation of nucleic acid-templated transcription
1051	CEBPB	GO:1903508	BP	positive regulation of nucleic acid-templated transcription
1051	CEBPB	GO:1903706	BP	regulation of hemopoiesis
1051	CEBPB	GO:1990440	BP	positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress
1051	CEBPB	GO:2000026	BP	regulation of multicellular organismal development
1051	CEBPB	GO:2000112	BP	regulation of cellular macromolecule biosynthetic process
1051	CEBPB	GO:2000113	BP	negative regulation of cellular macromolecule biosynthetic process
1051	CEBPB	GO:2001141	BP	regulation of RNA biosynthetic process
10664	CTCF	GO:0000122	BP	negative regulation of transcription from RNA polymerase II promoter
10664	CTCF	GO:0000819	BP	sister chromatid segregation
10664	CTCF	GO:0006139	BP	nucleobase-containing compound metabolic process
10664	CTCF	GO:0006259	BP	DNA metabolic process
10664	CTCF	GO:0006304	BP	DNA modification
10664	CTCF	GO:0006305	BP	DNA alkylation
10664	CTCF	GO:0006306	BP	DNA methylation
10664	CTCF	GO:0006323	BP	DNA packaging
10664	CTCF	GO:0006325	BP	chromatin organization
10664	CTCF	GO:0006333	BP	chromatin assembly or disassembly
10664	CTCF	GO:0006349	BP	regulation of gene expression by genetic imprinting
10664	CTCF	GO:0006351	BP	"transcription, DNA-templated"
10664	CTCF	GO:0006355	BP	"regulation of transcription, DNA-templated"
10664	CTCF	GO:0006357	BP	regulation of transcription from RNA polymerase II promoter
10664	CTCF	GO:0006366	BP	transcription from RNA polymerase II promoter
10664	CTCF	GO:0006464	BP	cellular protein modification process
10664	CTCF	GO:0006473	BP	protein acetylation
10664	CTCF	GO:0006475	BP	internal protein amino acid acetylation
10664	CTCF	GO:0006479	BP	protein methylation
10664	CTCF	GO:0006725	BP	cellular aromatic compound metabolic process
10664	CTCF	GO:0006807	BP	nitrogen compound metabolic process
10664	CTCF	GO:0006996	BP	organelle organization
10664	CTCF	GO:0007049	BP	cell cycle
10664	CTCF	GO:0007059	BP	chromosome segregation
10664	CTCF	GO:0007062	BP	sister chromatid cohesion
10664	CTCF	GO:0007063	BP	regulation of sister chromatid cohesion
10664	CTCF	GO:0008104	BP	protein localization
10664	CTCF	GO:0008150	BP	biological_process
10664	CTCF	GO:0008152	BP	metabolic process
10664	CTCF	GO:0008213	BP	protein alkylation
10664	CTCF	GO:0009058	BP	biosynthetic process
10664	CTCF	GO:0009059	BP	macromolecule biosynthetic process
10664	CTCF	GO:0009889	BP	regulation of biosynthetic process
10664	CTCF	GO:0009890	BP	negative regulation of biosynthetic process
10664	CTCF	GO:0009891	BP	positive regulation of biosynthetic process
10664	CTCF	GO:0009892	BP	negative regulation of metabolic process
10664	CTCF	GO:0009893	BP	positive regulation of metabolic process
10664	CTCF	GO:0009987	BP	cellular process
10664	CTCF	GO:0010216	BP	maintenance of DNA methylation
10664	CTCF	GO:0010467	BP	gene expression
10664	CTCF	GO:0010468	BP	regulation of gene expression
10664	CTCF	GO:0010556	BP	regulation of macromolecule biosynthetic process
10664	CTCF	GO:0010557	BP	positive regulation of macromolecule biosynthetic process
10664	CTCF	GO:0010558	BP	negative regulation of macromolecule biosynthetic process
10664	CTCF	GO:0010564	BP	regulation of cell cycle process
10664	CTCF	GO:0010604	BP	positive regulation of macromolecule metabolic process
10664	CTCF	GO:0010605	BP	negative regulation of macromolecule metabolic process
10664	CTCF	GO:0010628	BP	positive regulation of gene expression
10664	CTCF	GO:0010629	BP	negative regulation of gene expression
10664	CTCF	GO:0016043	BP	cellular component organization
10664	CTCF	GO:0016070	BP	RNA metabolic process
10664	CTCF	GO:0016569	BP	covalent chromatin modification
10664	CTCF	GO:0016570	BP	histone modification
10664	CTCF	GO:0016571	BP	histone methylation
10664	CTCF	GO:0016573	BP	histone acetylation
10664	CTCF	GO:0016584	BP	nucleosome positioning
10664	CTCF	GO:0018130	BP	heterocycle biosynthetic process
10664	CTCF	GO:0018193	BP	peptidyl-amino acid modification
10664	CTCF	GO:0018205	BP	peptidyl-lysine modification
10664	CTCF	GO:0018393	BP	internal peptidyl-lysine acetylation
10664	CTCF	GO:0018394	BP	peptidyl-lysine acetylation
10664	CTCF	GO:0019219	BP	regulation of nucleobase-containing compound metabolic process
10664	CTCF	GO:0019222	BP	regulation of metabolic process
